Time,Escenario Norte,Escenario Sur,Escenario Montaña,Escenario Boomerang,Escenario Sorpresa,Escenario La Plaza,Escenario La Casita
14:10,KILL FLORA,FANTASMAGORÍA,CHECHI DE MARCOS,MICROTUL,,,GOLO’S BAND
14:30,KILL FLORA,,,1915,,,
14:50,KILL FLORA,,,MICROTUL,,,
15:00,KILL FLORA,,RYAN,,,,
15:05,KILL FLORA,,,,,,LOS MENTIDORES
15:10,KILL FLORA,,,,,,
15:20,ERUCA SATIVA,,,,,,
15:20,ERUCA SATIVA,LA MISSISSIPPI,,,,,
15:40,ERUCA SATIVA,,,,,,
15:50,ERUCA SATIVA,,BERSUIT VERGARABAT,,FALSED,,
15:50,ERUCA SATIVA,MALANDRO,BERSUIT VERGARABAT,,,,
16:00,ERUCA SATIVA,,BERSUIT VERGARABAT,,,CLAUDIO RICCI,
16:10,ERUCA SATIVA,,BERSUIT VERGARABAT,,,,
16:25,ERUCA SATIVA,,BERSUIT VERGARABAT,,,,
16:30,EL ZAR,,BERSUIT VERGARABAT,,,,
16:30,EL ZAR,EMI,BERSUIT VERGARABAT,,,,
16:50,EL ZAR,EMI,BERSUIT VERGARABAT,,,,LE DRACS
17:00,EL ZAR,EMI,,,,,
17:10,EL ZAR,EMI,MARILINA BERTOLDI,,,VALENTIN HUEBO B2B BRUZ,
17:20,EL ZAR,EMI,MARILINA BERTOLDI,,,,
17:45,EL ZAR,EMI,MARILINA BERTOLDI,,,,PERRO SUIZO
17:50,EL ZAR,CRUZANDO EL CHARCO,MARILINA BERTOLDI,,,,
17:50,TURF,CRUZANDO EL CHARCO,MARILINA BERTOLDI,,,,
18:20,TURF,CRUZANDO EL CHARCO,MARILINA BERTOLDI,,,,
18:30,TURF,CRUZANDO EL CHARCO,,,,,
18:40,TURF,CRUZANDO EL CHARCO,EL KUELGUE,,SORPRESA,,MISTY SOUL CHOIR
18:40,TURF,DEVENDRA BANHART,EL KUELGUE,,,,
19:00,TURF,DEVENDRA BANHART,EL KUELGUE,,,LEHAR B2B SANTIAGO GARCÍA,
19:20,TURF,DEVENDRA BANHART,EL KUELGUE,ESTELARES,,,
19:30,DILLOM,DEVENDRA BANHART,EL KUELGUE,ESTELARES,,,
19:35,DILLOM,DEVENDRA BANHART,EL KUELGUE,ESTELARES,,,TANGO & ROLL
19:40,DILLOM,DEVENDRA BANHART,EL KUELGUE,ESTELARES,,,
20:30,DILLOM,DEVENDRA BANHART,EL KUELGUE,ESTELARES,,,WAYRA IGLESIAS
20:40,DILLOM,DEVENDRA BANHART,CUARTETO DE NOS,ABEL PINTOS,,,
20:40,DILLOM,,CUARTETO DE NOS,ABEL PINTOS,,,
20:40,DILLOM,,CUARTETO DE NOS,ABEL PINTOS,,,
21:00,DILLOM,,CUARTETO DE NOS,ABEL PINTOS,,,
21:00,,,CUARTETO DE NOS,ABEL PINTOS,,,
21:20,BABASONICOS,,CUARTETO DE NOS,ABEL PINTOS,,,
21:25,BABASONICOS,,CUARTETO DE NOS,ABEL PINTOS,,,LOS ESPIRITUS
21:40,BABASONICOS,LA VELA PUERCA,CUARTETO DE NOS,ABEL PINTOS,,,
21:50,BABASONICOS,LA VELA PUERCA,CUARTETO DE NOS,LA FRANELA,,,
22:20,BABASONICOS,LA VELA PUERCA,,LA FRANELA,SORPRESA,,
22:30,BABASONICOS,LA VELA PUERCA,,LA FRANELA,,,PITI FERNÁNDEZ
22:30,BABASONICOS,LA VELA PUERCA,,LA FRANELA,,SORÄ,
22:40,BABASONICOS,LA VELA PUERCA,FRANZ FERDINAND,LA FRANELA,,,
23:10,BABASONICOS,LA VELA PUERCA,FRANZ FERDINAND,COTI,,,
23:20,LALI,LAS PELOTAS,FRANZ FERDINAND,COTI,,,
23:35,LALI,LAS PELOTAS,FRANZ FERDINAND,COTI,,,LES DIABOLETTES
0:00,LALI,LAS PELOTAS,THE CHEMICAL BROTHERS,COTI,,,
0:30,LALI,LAS PELOTAS,THE CHEMICAL BROTHERS,AMIGO DE ARTISTAS,,,
0:40,CALIGARIS,VIEJAS LOCAS/JÓVENES PORDIOSEROS,THE CHEMICAL BROTHERS,,,,
1:00,CALIGARIS,VIEJAS LOCAS/JÓVENES PORDIOSEROS,THE CHEMICAL BROTHERS,,,,
2:00,CALIGARIS,VIEJAS LOCAS/JÓVENES PORDIOSEROS,VICTORIA WHYNOT,,,,
